mission_id,agent_id,site_id,mission_date,parcel_status,validation_delay_days
M0537,AG010,S03,2024-08-04,Validated,12.0
M0538,AG019,S08,2024-11-01,Validated,2.4
M0539,AG007,S07,2024-07-03,Validated,16.6
M0540,AG003,S11,2024-02-08,Pending,0.5
M0541,AG013,S08,2024-08-10,Rejected,5.8
M0542,AG013,S06,2024-07-02,Validated,3.4
M0543,AG018,S09,2025-05-09,Pending,2.5
M0544,AG020,S05,2025-03-02,Validated,5.0
M0545,AG008,S03,2024-06-26,Validated,6.1
M0546,AG009,S03,2025-03-03,Validated,0.0
M0547,AG007,S01,2024-10-20,Rejected,0.9
M0548,AG001,S08,2024-05-30,Pending,6.2
M0549,AG003,S02,2025-01-18,Validated,
M0550,AG013,S03,2024-11-03,Validated,16.9
M0551,AG017,S08,2024-12-01,Validated,7.2
M0552,AG001,S08,2025-01-09,,15.1
M0553,AG006,S11,2024-01-08,Validated,6.1
M0554,AG021,S04,2024-12-06,Rejected,1.8
M0555,AG006,S04,2024-05-08,Validated,0.6
M0556,AG012,S05,2024-12-17,Validated,7.6
M0557,AG013,S06,2024-12-23,Validated,5.2
M0558,AG013,S05,2025-05-31,Rejected,0.2
M0559,AG015,S07,2025-05-09,Pending,2.2
M0560,AG021,S02,2024-03-26,Validated,15.7
M0561,AG016,S07,2024-06-23,Pending,3.5
M0562,AG022,S10,2024-07-11,Validated,2.8
M0563,AG021,S07,2024-11-06,Validated,3.1
M0564,AG011,S01,2024-04-28,Validated,1.2
M0565,AG005,S07,2024-08-05,Validated,2.3
M0566,AG004,S05,2025-03-02,Validated,2.3
M0567,AG003,S03,2025-02-17,Rejected,0.3
M0568,AG019,S03,2024-04-23,Pending,7.3
M0569,AG020,S04,2024-05-24,Pending,2.7
M0570,AG018,S02,2025-06-21,Validated,8.6
M0571,AG015,S02,2024-10-29,Validated,9.5
M0572,AG009,S01,2024-12-10,Pending,1.2
M0573,AG017,S05,2024-01-01,Validated,5.4
M0574,AG014,S04,2024-05-26,Validated,3.2
M0575,AG015,S11,2024-10-13,Validated,10.6
M0576,AG001,S10,2024-02-22,Pending,1.2
M0577,AG021,S02,2024-10-30,Validated,5.7
M0578,AG022,S03,2024-03-09,Validated,4.7
M0579,AG022,S07,2024-12-26,Pending,1.7
M0580,AG003,S07,2024-08-07,Validated,0.7
M0581,AG016,S04,2024-06-09,Validated,5.3
M0582,AG011,S05,2024-03-29,Validated,6.7
M0583,AG012,S05,2024-06-07,Validated,1.9
M0584,AG010,S06,2025-05-03,Pending,5.2
M0585,AG016,S09,2024-11-19,Validated,2.5
M0586,AG008,S02,2025-01-15,Validated,6.2
M0587,AG006,S05,2024-04-11,Rejected,1.1
M0588,AG012,S03,2025-05-08,Rejected,11.0
M0589,AG021,S04,2024-01-19,Rejected,1.7
M0590,AG008,S10,2025-03-29,Validated,2.3
M0591,AG004,S06,2025-04-26,Validated,0.3
M0592,AG008,S08,2025-01-31,Rejected,0.6
M0593,AG018,S01,2024-10-05,Pending,3.6
M0594,AG005,S10,2024-12-30,Validated,1.6
M0595,AG009,S08,2024-11-26,Validated,9.0
M0596,AG004,S11,2024-12-09,Validated,0.1
M0597,AG022,S07,2025-03-30,Rejected,2.4
M0598,AG017,S01,2024-03-05,Validated,2.1
M0599,AG009,S02,2024-03-16,Validated,0.1
M0600,AG001,S03,2024-05-22,Validated,0.7
